workload,op_class,region_role,M,N,K,layers_in_capture,outer_loop_K,K_source,instances_per_replan,macs_per_instance,macs_per_replan,operand_b_identity,dataflow_candidates,reduction_reuse_scope,kv_state_bytes_workload,k_reduction_needs_partial_sum,evidence
openvla,linear_gemm,repeated_head,1,256,128,4,7,recovered_from_ir,28,32768,917504,weight,weight_stationary|output_stationary|input_stationary,across_K (resident-eligible),221184,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
openvla,linear_gemm,repeated_head,1,128,256,2,7,recovered_from_ir,14,32768,458752,weight,weight_stationary|output_stationary|input_stationary,across_K (resident-eligible),221184,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
pi05,linear_gemm,backbone_once,968,16384,2048,34,1,not_repeated,34,32480690176,1104343465984,weight,weight_stationary|output_stationary|input_stationary,once_per_replan,,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
pi05,linear_gemm,backbone_once,968,2048,16384,17,1,not_repeated,17,32480690176,552171732992,weight,weight_stationary|output_stationary|input_stationary,once_per_replan,,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
pi05,linear_gemm,backbone_once,968,2048,2048,34,1,not_repeated,34,4060086272,138042933248,weight,weight_stationary|output_stationary|input_stationary,once_per_replan,,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
pi05,linear_gemm,backbone_once,256,4304,1152,81,1,not_repeated,81,1269301248,102813401088,weight,weight_stationary|output_stationary|input_stationary,once_per_replan,,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
pi05,linear_gemm,backbone_once,256,1152,4304,81,1,not_repeated,81,1269301248,102813401088,weight,weight_stationary|output_stationary|input_stationary,once_per_replan,,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
pi05,linear_gemm,backbone_once,256,2048,1152,3,1,not_repeated,3,603979776,1811939328,weight,weight_stationary|output_stationary|input_stationary,once_per_replan,,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
pi05,linear_gemm,backbone_once,968,256,2048,36,1,not_repeated,36,507510784,18270388224,weight,weight_stationary|output_stationary|input_stationary,once_per_replan,,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
pi05,linear_gemm,backbone_once,256,1152,1152,324,1,not_repeated,324,339738624,110075314176,weight,weight_stationary|output_stationary|input_stationary,once_per_replan,,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
pi05,linear_gemm,repeated_head,50,4096,1024,36,10,recovered_from_ir,360,209715200,75497472000,weight,weight_stationary|output_stationary|input_stationary,across_K (resident-eligible),,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
pi05,linear_gemm,repeated_head,50,1024,4096,18,10,recovered_from_ir,180,209715200,37748736000,weight,weight_stationary|output_stationary|input_stationary,across_K (resident-eligible),,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
pi05,linear_gemm,repeated_head,50,2048,1024,18,10,recovered_from_ir,180,104857600,18874368000,weight,weight_stationary|output_stationary|input_stationary,across_K (resident-eligible),,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
pi05,linear_gemm,repeated_head,50,1024,2048,18,10,recovered_from_ir,180,104857600,18874368000,weight,weight_stationary|output_stationary|input_stationary,across_K (resident-eligible),,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
pi05,linear_gemm,repeated_head,50,256,1024,36,10,recovered_from_ir,360,13107200,4718592000,weight,weight_stationary|output_stationary|input_stationary,across_K (resident-eligible),,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
pi05,linear_gemm,repeated_head,1,3072,1024,37,10,recovered_from_ir,370,3145728,1163919360,weight,weight_stationary|output_stationary|input_stationary,across_K (resident-eligible),,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
pi05,linear_gemm,repeated_head,50,1024,32,1,10,recovered_from_ir,10,1638400,16384000,weight,weight_stationary|output_stationary|input_stationary,across_K (resident-eligible),,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
pi05,linear_gemm,repeated_head,50,32,1024,1,10,recovered_from_ir,10,1638400,16384000,weight,weight_stationary|output_stationary|input_stationary,across_K (resident-eligible),,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
pi05,linear_gemm,repeated_head,1,1024,1024,2,10,recovered_from_ir,20,1048576,20971520,weight,weight_stationary|output_stationary|input_stationary,across_K (resident-eligible),,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
rdt,linear_gemm,repeated_head,4096,4096,2048,1,5,recovered_from_ir,5,34359738368,171798691840,weight,weight_stationary|output_stationary|input_stationary,across_K (resident-eligible),,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
rdt,linear_gemm,repeated_head,67,6144,2048,2,5,recovered_from_ir,10,843055104,8430551040,weight,weight_stationary|output_stationary|input_stationary,across_K (resident-eligible),,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
rdt,linear_gemm,repeated_head,67,2048,2048,11,5,recovered_from_ir,55,281018368,15456010240,weight,weight_stationary|output_stationary|input_stationary,across_K (resident-eligible),,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
rdt,linear_gemm,repeated_head,32,4096,2048,1,5,recovered_from_ir,5,268435456,1342177280,weight,weight_stationary|output_stationary|input_stationary,across_K (resident-eligible),,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
rdt,linear_gemm,repeated_head,64,2048,256,1,5,recovered_from_ir,5,33554432,167772160,weight,weight_stationary|output_stationary|input_stationary,across_K (resident-eligible),,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
rdt,linear_gemm,repeated_head,67,128,2048,1,5,recovered_from_ir,5,17563648,87818240,weight,weight_stationary|output_stationary|input_stationary,across_K (resident-eligible),,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
rdt,linear_gemm,repeated_head,1,2048,2048,2,5,recovered_from_ir,10,4194304,41943040,weight,weight_stationary|output_stationary|input_stationary,across_K (resident-eligible),,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
rdt,linear_gemm,repeated_head,1,2048,256,2,5,recovered_from_ir,10,524288,5242880,weight,weight_stationary|output_stationary|input_stationary,across_K (resident-eligible),,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
rdt2,linear_gemm,repeated_head,28,4096,1024,1,5,recovered_from_ir,5,117440512,587202560,weight,weight_stationary|output_stationary|input_stationary,across_K (resident-eligible),,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
rdt2,linear_gemm,repeated_head,28,2816,1024,4,5,recovered_from_ir,20,80740352,1614807040,weight,weight_stationary|output_stationary|input_stationary,across_K (resident-eligible),,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
rdt2,linear_gemm,repeated_head,28,1024,2816,2,5,recovered_from_ir,10,80740352,807403520,weight,weight_stationary|output_stationary|input_stationary,across_K (resident-eligible),,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
rdt2,linear_gemm,repeated_head,28,1024,1024,10,5,recovered_from_ir,50,29360128,1468006400,weight,weight_stationary|output_stationary|input_stationary,across_K (resident-eligible),,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
rdt2,linear_gemm,repeated_head,24,1024,1024,2,5,recovered_from_ir,10,25165824,251658240,weight,weight_stationary|output_stationary|input_stationary,across_K (resident-eligible),,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
rdt2,linear_gemm,repeated_head,1,9216,2048,2,5,recovered_from_ir,10,18874368,188743680,weight,weight_stationary|output_stationary|input_stationary,across_K (resident-eligible),,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
rdt2,linear_gemm,repeated_head,1,2048,2048,1,5,recovered_from_ir,5,4194304,20971520,weight,weight_stationary|output_stationary|input_stationary,across_K (resident-eligible),,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
rdt2,linear_gemm,repeated_head,28,20,4096,1,5,recovered_from_ir,5,2293760,11468800,weight,weight_stationary|output_stationary|input_stationary,across_K (resident-eligible),,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
rdt2,linear_gemm,repeated_head,1,1024,1024,1,5,recovered_from_ir,5,1048576,5242880,weight,weight_stationary|output_stationary|input_stationary,across_K (resident-eligible),,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
rdt2,linear_gemm,repeated_head,24,1024,20,1,5,recovered_from_ir,5,491520,2457600,weight,weight_stationary|output_stationary|input_stationary,across_K (resident-eligible),,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
rdt2,linear_gemm,repeated_head,1,1024,256,1,5,recovered_from_ir,5,262144,1310720,weight,weight_stationary|output_stationary|input_stationary,across_K (resident-eligible),,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
smolvla,linear_gemm,backbone_once,1024,3072,768,12,1,not_repeated,12,2415919104,28991029248,weight,weight_stationary|output_stationary|input_stationary,once_per_replan,,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
smolvla,linear_gemm,backbone_once,1024,768,3072,12,1,not_repeated,12,2415919104,28991029248,weight,weight_stationary|output_stationary|input_stationary,once_per_replan,,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
smolvla,linear_gemm,backbone_once,64,960,12288,1,1,not_repeated,1,754974720,754974720,weight,weight_stationary|output_stationary|input_stationary,once_per_replan,,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
