workload,op_class,shape_id,M,N,K,multiplicity,macs_per_instance,operand_b_identity,dataflow_candidates,legal_spatial_axes,legal_temporal_axes,bypass_candidates,k_reduction_needs_partial_sum,fqn
pi05,attention_contraction,968x968x256,968,968,256,17,239878144,activation,output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,"model.paligemma_with_expert.paligemma.model.language_model.layers.slice(None, 18, None).0.self_attn"
pi05,attention_contraction,968x256x968,968,256,968,17,239878144,activation,output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,"model.paligemma_with_expert.paligemma.model.language_model.layers.slice(None, 18, None).0.self_attn"
pi05,attention_contraction,256x256x72,256,256,72,81,4718592,activation,output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,model.paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.0.self_attn
pi05,attention_contraction,256x72x256,256,72,256,81,4718592,activation,output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,model.paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.0.self_attn
pi05,attention_contraction,50x1018x256,50,1018,256,18,13030400,activation,output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,"model.paligemma_with_expert.gemma_expert.model.layers.slice(None, 18, None).0.self_attn"
pi05,attention_contraction,50x256x1018,50,256,1018,18,13030400,activation,output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,"model.paligemma_with_expert.gemma_expert.model.layers.slice(None, 18, None).0.self_attn"
pi05,batched_matmul,128x968x1,128,968,1,1,123904,batched_weight_or_state,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,
pi05,batched_matmul,128x50x1,128,50,1,1,6400,batched_weight_or_state,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,
pi05,linear_gemm,968x16384x2048,968,16384,2048,34,32480690176,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,"model.paligemma_with_expert.paligemma.model.language_model.layers.slice(None, 18, None).0.mlp.gate_proj"
pi05,linear_gemm,968x2048x16384,968,2048,16384,17,32480690176,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,"model.paligemma_with_expert.paligemma.model.language_model.layers.slice(None, 18, None).0.mlp.down_proj"
pi05,linear_gemm,968x2048x2048,968,2048,2048,34,4060086272,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,"model.paligemma_with_expert.paligemma.model.language_model.layers.slice(None, 18, None).0.self_attn.q_proj"
pi05,linear_gemm,256x1152x1152,256,1152,1152,324,339738624,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,model.paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.0.self_attn.q_proj
pi05,linear_gemm,256x4304x1152,256,4304,1152,81,1269301248,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,model.paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.0.mlp.fc1
pi05,linear_gemm,256x1152x4304,256,1152,4304,81,1269301248,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,model.paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.0.mlp.fc2
pi05,linear_gemm,968x256x2048,968,256,2048,36,507510784,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,"model.paligemma_with_expert.paligemma.model.language_model.layers.slice(None, 18, None).0.self_attn.k_proj"
pi05,linear_gemm,50x4096x1024,50,4096,1024,36,209715200,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,"model.paligemma_with_expert.gemma_expert.model.layers.slice(None, 18, None).0.mlp.gate_proj"
pi05,linear_gemm,50x1024x4096,50,1024,4096,18,209715200,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,"model.paligemma_with_expert.gemma_expert.model.layers.slice(None, 18, None).0.mlp.down_proj"
